event_id,sport,family,code,display_name_cn,display_name_en,description,level_hint,enabled,source_type,importance_base,tags,trigger_notes,negative_flag,version,notes,Parent items,父记录
football.pass,football,possession,pass,传球,Pass,Delivery of ball from one player to teammate,signal,,model_direct,0.15,signal,ball delivered to teammate,,v3-20260319,,,
football.celebration,football,scoring,celebration,庆祝,Celebration,Player or team celebration after goal,core,,model_direct,0.6,"highlight, emotion",goal scored → player/team celebrates,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 叙事事件 Narrative Events ---,,,,,,,,,,,,
football.equalizer,football,narrative,equalizer,追平进球,Equalizer,Goal that levels the score after trailing,narrative,,context_derived,0.9,"highlight, turning_point, momentum",goal + score_diff == 0 after previously != 0,,v3-20260319,,,
football.go_ahead_goal,football,narrative,go_ahead_goal,反超进球,Go-Ahead Goal,Goal that gives the scoring team the lead,narrative,,context_derived,0.95,"highlight, turning_point, clutch",goal + score leader changes,,v3-20260319,,,
football.comeback,football,narrative,comeback,大逆转,Comeback,Team recovers from 2+ goal deficit to win or draw,narrative,,context_derived,1,"story, highlight, top10",was trailing ≥2 goals + final result not loss,,v3-20260319,requires full match context,,
football.injury_time_goal,football,narrative,injury_time_goal,补时进球,Injury Time Goal,Goal scored during added/stoppage time,narrative,,rule_composed,0.97,"highlight, drama, clutch",matchTime contains '+' (45+X or 90+X),,v3-20260319,,,
football.last_gasp_winner,football,narrative,last_gasp_winner,绝杀,Last-Gasp Winner,Late winning goal in final minutes of match,narrative,,rule_composed,0.99,"highlight, top10, clutch",matchTime ≥ 85' + goal makes score_diff == 1,,v3-20260319,,,
football.scoring_run,football,narrative,scoring_run,连续进球潮,Scoring Run,Same team scores multiple goals in short period,narrative,,context_derived,0.85,"momentum, narrative",same team ≥2 goals within 15 min window,,v3-20260319,,,
football.penalty_drama,football,narrative,penalty_drama,点球大战剧情,Penalty Drama,Full dramatic arc of penalty shootout sequence,narrative,,context_derived,0.95,"story, highlight, clutch",penalty_shootout period + complete narrative arc,,v3-20260319,covers full shootout sequence,,
football.hat_trick,football,narrative,hat_trick,帽子戏法,Hat Trick,Three goals scored by one player in a single match,narrative,,context_derived,0.98,"highlight, scoring, top10",same player ≥3 goals in match,,v3-20260319,,,
football.brace,football,narrative,brace,梅开二度,Brace,Two goals scored by one player in a single match,narrative,,context_derived,0.88,"highlight, scoring",same player == 2 goals in match,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 事件限定词 Event Qualifiers ---,,,,,,,,,,,,
football.own_goal,football,scoring,own_goal,乌龙球,Own Goal,Ball put into own net by defending player,,,,0.85,"negative, scoring",ball enters own goal via defending player,,v3-20260319,attributed to defending player,,
football.red_card,football,signals,red_card,红牌,Red Card,Player sent off for serious foul or second yellow,,,,0.85,"highlight, discipline, drama",referee shows red card,,v3-20260319,,,
football.yellow_card,football,signals,yellow_card,黄牌,Yellow Card,Player cautioned for foul play,,,,0.5,"discipline, signal",referee shows yellow card,,v3-20260319,,,
football.offside,football,signals,offside,越位,Offside,Player in offside position when ball is played,,,,0.3,"signal, tactical",linesman flags offside,,v3-20260319,,,
football.penalty_save,football,defense,penalty_save,扑点球,Penalty Save,Goalkeeper saves a penalty kick,,,,0.93,"highlight, defense, clutch",GK saves penalty attempt,,v3-20260319,,,
football.free_kick,football,signals,free_kick,任意球,Free Kick,Direct or indirect free kick from a foul,,,,0.4,"set_piece, attacking",referee awards free kick,,v3-20260319,,,
football.corner,football,signals,corner,角球,Corner Kick,Corner kick from ball over goal line,,,,0.35,"set_piece, attacking",ball over goal line off defender,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,=== 转播 Broadcast ===,,,,,,,,,,,,
Broadcast,football,,,转播,,,,,,,,,,,,,
football.review,football,broadcast,review,检查/回放,Review,VAR or on-field review of an incident,meta,,,0.5,"signal, drama",referee initiates review,,v3-20260319,,,
football.var,football,broadcast,var,VAR回放,VAR Review,Video Assistant Referee reviewing incident,,,,,,VAR room initiates review,,v3-20260319,,,
football.goal_check,football,broadcast,goal_check,进球检查,Goal Check,Review to confirm or deny goal,,,,0.7,"drama, highlight",VAR checks goal validity,,v3-20260319,,,
football.redcard_check,football,broadcast,redcard_check,红牌检查,Red Card Check,Review for potential red card,,,,0.6,drama,VAR checks foul severity,,v3-20260319,,,
football.lineups,football,broadcast,lineups,首发公布,Lineups,Starting XI announcement,meta,,,0.05,signal,pre-match broadcast graphic,,v3-20260319,,,
football.stats,football,broadcast,stats,技术统计,Match Stats,In-match statistical overlay,meta,,,0.05,signal,broadcast stats graphic,,v3-20260319,,,
football.entry,football,broadcast,entry,赛前入场,Pre-match Entry,Players walking onto the pitch,meta,,,0.1,signal,players emerge from tunnel,,v3-20260319,,,
football.coin_toss,football,broadcast,coin_toss,队长挑边,Coin Toss,Captains and referee coin toss,meta,,,0.05,signal,captains meet at center circle,,v3-20260319,,,
football.talking_heads,football,broadcast,talking_heads,演播室嘉宾,Studio Pundits,Broadcast studio analysis segment,meta,,,0.02,broadcast,studio camera feed,,v3-20260319,,,
football.interview,football,broadcast,interview,采访,Interview,Player or manager interview,meta,,,0.15,broadcast,interview camera setup,,v3-20260319,,,
football.pre_game_interview,football,broadcast,pre_game_interview,赛前采访,Pre-game Interview,Interview before kickoff,,,,,,pre-match interview segment,,v3-20260319,,,
football.post_game_interview,football,broadcast,post_game_interview,赛后采访,Post-game Interview,Interview after final whistle,,,,0.2,,post-match interview segment,,v3-20260319,,,
football.replay,football,broadcast,replay,回放,Replay,Broadcast replay of an incident,meta,,,0.15,broadcast,replay graphic shown,,v3-20260319,,,
football.goal_replay,football,broadcast,goal_replay,进球回放,Goal Replay,Slow-motion replay of goal,,,,0.3,highlight,goal replay shown,,v3-20260319,,,
football.foul_replay,football,broadcast,foul_replay,犯规回放,Foul Replay,Replay of foul incident,,,,,,foul replay shown,,v3-20260319,,,
football.shoot_replay,football,broadcast,shoot_replay,射门回放,Shot Replay,Replay of shot attempt,,,,,,shot replay shown,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,=== 正交标签维度 Tag Dimensions ===,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 身体部位 Body Part (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,body_part,身体部位,Body Part,"applies_to: shoot, goal, pass, clearance, dribble",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,body_part,right_foot,右脚,Right Foot,Dominant foot for most players,,,,,,,,v3-20260319,,,
_TAG_VALUE,football,body_part,left_foot,左脚,Left Foot,Non-dominant foot for most players,,,,,,,,v3-20260319,,,
_TAG_VALUE,football,body_part,head,头,Head,Using the head to contact the ball,,,,,,,,v3-20260319,,,
_TAG_VALUE,football,body_part,other,其他（胸部/肩膀等）,Other,Chest / shoulder / thigh contact,,,,,,,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 触球技术 Foot Technique (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,foot_technique,触球技术,Foot Technique,"applies_to: shoot, goal, pass, clearance, cross",exclusive,,,,,,,v3-20260319,描述用脚的哪个部位/方式触球,,
_TAG_VALUE,football,foot_technique,instep,正脚背,Instep,Top/laces of the foot,,,,,,power strike with laces,,v3-20260319,,,
_TAG_VALUE,football,foot_technique,inside_foot,脚弓/脚内侧,Inside Foot,Inside surface of the foot for accuracy,,,,,,inside foot contact for placement,,v3-20260319,,,
_TAG_VALUE,football,foot_technique,outside_boot,外脚背,Outside Boot,Outside surface of the foot,,,,0.1,,outside foot contact,,v3-20260319,,,
_TAG_VALUE,football,foot_technique,backheel,脚后跟,Backheel,Using the heel to strike the ball,,,,0.15,"highlight, skill",heel contact,,v3-20260319,,,
_TAG_VALUE,football,foot_technique,toe_poke,脚尖捅,Toe Poke,Using the toe to prod the ball,,,,,,toe contact on ball,,v3-20260319,,,
_TAG_VALUE,football,foot_technique,sole,脚底,Sole,Using the sole to control or strike,,,,,,sole of boot contact,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 球路/弧线 Ball Trajectory (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,ball_trajectory,球路/弧线,Ball Trajectory,"applies_to: shoot, goal, pass, cross",exclusive,,,,,,,v3-20260319,球飞行的路径特征,,
_TAG_VALUE,football,ball_trajectory,ground,地滚球,Ground,Ball rolls along the surface,,,,,,ball stays on ground,,v3-20260319,,,
_TAG_VALUE,football,ball_trajectory,low_drive,低平球,Low Drive,Powerful shot/pass staying low,,,,,,ball travels fast and low,,v3-20260319,,,
_TAG_VALUE,football,ball_trajectory,lofted,高空球,Lofted,Elevated ball through the air,,,,,,ball travels in high arc,,v3-20260319,,,
_TAG_VALUE,football,ball_trajectory,curling,弧线球,Curling,Ball curves significantly in flight,,,,0.1,"highlight, technique",visible ball curve trajectory,,v3-20260319,,,
_TAG_VALUE,football,ball_trajectory,dipping,落叶球,Dipping,Ball dips sharply after rising,,,,0.15,"highlight, technique",ball rises then dips suddenly,,v3-20260319,,,
_TAG_VALUE,football,ball_trajectory,knuckleball,电梯球,Knuckleball,Ball moves unpredictably with no spin,,,,0.2,"highlight, technique",minimal spin causing erratic movement,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 射门姿态 Shot Posture (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,shot_posture,射门姿态,Shot Posture,"applies_to: shoot, goal",exclusive,,,,,,,v3-20260319,身体姿态/动作,,
_TAG_VALUE,football,shot_posture,volley,凌空,Volley,Shot struck while ball is in the air,,,,0.2,"highlight, technique",ball in air when struck,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,half_volley,半凌空,Half Volley,Shot struck just as ball bounces,,,,0.1,,ball struck on bounce,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,bicycle_kick,倒钩,Bicycle Kick,Acrobatic overhead kick,,,,0.35,"highlight, top10, acrobatic",player inverts body to strike ball,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,diving_header,鱼跃头球,Diving Header,Header while diving horizontally,,,,0.2,"highlight, acrobatic",player dives to meet ball,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,glancing_header,蹭头球,Glancing Header,Redirecting header with light touch,,,,,,light head deflection on ball,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,downward_header,向下砸头球,Downward Header,Powerful header aimed down toward ground,,,,,,head contact forces ball down,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,sliding,铲射,Sliding Shot,Shot made while sliding on ground,,,,0.1,,player slides to strike ball,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,scorpion_kick,蝎子摆尾,Scorpion Kick,Heel flick while diving forward,,,,0.35,"highlight, top10",diving forward heel flick,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,rabona,插花脚,Rabona,Kicking leg wraps behind standing leg,,,,0.25,"highlight, skill",cross-leg technique,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,placed_shot,推射,Placed Shot,Precise side-foot shot aimed at corner,,,,,,accuracy-focused shot placement,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,power_shot,大力抽射,Power Shot,Full-power instep drive,,,,,,high velocity strike,,v3-20260319,,,
_TAG_VALUE,football,shot_posture,chip,挑射/吊射,Chip,Lobbed shot over goalkeeper,,,,0.15,"highlight, skill",ball chipped over GK,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 射门距离 Shot Distance (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,shot_distance,射门距离,Shot Distance,"applies_to: shoot, goal",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,shot_distance,close_range,近距离,Close Range,Shot from within 6-yard box or tap-in range,,,,,,shot origin ≤8m from goal,,v3-20260319,,,
_TAG_VALUE,football,shot_distance,mid_range,中距离,Mid Range,Shot from inside the penalty area,,,,,,shot origin 8-16m from goal,,v3-20260319,,,
_TAG_VALUE,football,shot_distance,long_range,远距离,Long Range,Shot from outside the penalty area,,,,0.1,"attacking, distance",shot origin 16-30m from goal,,v3-20260319,,,
_TAG_VALUE,football,shot_distance,half_way,超远/半场,Half-Way,Shot from near or beyond halfway line,,,,0.3,"highlight, top10",shot origin ≥30m from goal,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 进攻模式 Pattern of Play (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,pattern_of_play,进攻模式,Pattern of Play,"applies_to: shoot, goal, assist",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,open_play,阵地进攻,Open Play,Goal/shot from regular open play,,,,,,normal possession attack,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,set_piece,定位球,Set Piece,From dead ball situation,,,,,,free kick or corner delivery,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,corner_kick,角球配合,Corner,Directly from corner kick routine,,,,,,corner kick delivery + finish,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,direct_free_kick,直接任意球,Direct Free Kick,Shot directly from free kick,,,,0.1,,direct free kick strike at goal,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,fast_break,快攻/反击,Fast Break,Goal/shot from counter-attack,,,,0.1,"momentum, tactical",transition attack after turnover,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,penalty_kick,点球,Penalty,From penalty kick,,,,,,penalty kick situation,,v3-20260319,,,
_TAG_VALUE,football,pattern_of_play,throw_in_play,界外球配合,Throw In,From throw-in routine,,,,,,throw-in delivery + finish,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 球场区域 Pitch Zone (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,pitch_zone,球场区域,Pitch Zone,"applies_to: shoot, goal, foul",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,pitch_zone,six_yard_box,小禁区,Six-Yard Box,Inside the 6-yard box,,,,,,event inside 6-yard box,,v3-20260319,,,
_TAG_VALUE,football,pitch_zone,inside_box,禁区内,Inside Box,Inside the penalty area but outside 6-yard,,,,,,event inside penalty area,,v3-20260319,,,
_TAG_VALUE,football,pitch_zone,outside_box,禁区外,Outside Box,Outside the penalty area,,,,,,event outside penalty area,,v3-20260319,,,
_TAG_VALUE,football,pitch_zone,halfway_line,半场线附近,Halfway Line,Near or beyond the halfway line,,,,,,event near halfway line,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 传球距离 Pass Distance (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,pass_distance,传球距离,Pass Distance,"applies_to: pass, assist, cross",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,pass_distance,short,短传,Short,Pass under ~15 meters,,,,,,short distance pass,,v3-20260319,,,
_TAG_VALUE,football,pass_distance,medium,中距离传球,Medium,Pass between ~15-25 meters,,,,,,medium distance pass,,v3-20260319,,,
_TAG_VALUE,football,pass_distance,long,长传,Long,Pass over ~25 meters,,,,0.1,"highlight, vision",long distance pass,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 传球方向/意图 Pass Direction (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,pass_direction,传球方向/意图,Pass Direction / Intent,"applies_to: pass, assist",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,pass_direction,forward,向前传,Forward,Pass directed toward opponent goal,,,,,,pass moving up the pitch,,v3-20260319,,,
_TAG_VALUE,football,pass_direction,lateral,横传,Lateral,Pass moving sideways across the pitch,,,,,,pass moving sideways,,v3-20260319,,,
_TAG_VALUE,football,pass_direction,back_pass,回传,Back Pass,Pass directed back toward own goal,,,,,,pass toward own goal,,v3-20260319,,,
_TAG_VALUE,football,pass_direction,through_ball,直塞,Through Ball,Pass splitting the defense for runner,,,,0.15,"highlight, vision, attacking",ball through defensive line,,v3-20260319,,,
_TAG_VALUE,football,pass_direction,cross,传中,Cross,Delivery from wide area into penalty box,,,,0.05,"attacking, set_piece",wide to central delivery,,v3-20260319,,,
_TAG_VALUE,football,pass_direction,switch,转移,Switch / Diagonal,Long ball switching play from one side to another,,,,0.1,"highlight, vision",cross-field diagonal ball,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 传球高度 Pass Height (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,pass_height,传球高度,Pass Height,"applies_to: pass, assist, cross",exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,pass_height,ground_pass,地面,Ground,Pass along the ground,,,,,,ball stays on ground,,v3-20260319,,,
_TAG_VALUE,football,pass_height,low_cross,低平,Low,Low driven cross or pass,,,,,,ball travels low and fast,,v3-20260319,,,
_TAG_VALUE,football,pass_height,lofted_pass,高空,Lofted,Elevated pass through the air,,,,,,ball travels in high arc,,v3-20260319,,,
_TAG_VALUE,football,pass_height,chip_pass,挑传,Chip,Lofted pass over short distance,,,,,,chipped ball over pressure,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 传球特殊风格 Pass Style (非互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,pass_style,传球特殊风格,Pass Style,"applies_to: pass, assist, cross",non-exclusive,,,,,,,v3-20260319,可叠加,,
_TAG_VALUE,football,pass_style,nolook,不看人传球,No-Look,Pass without looking at recipient,,,,0.15,"highlight, skill",head facing away from target,,v3-20260319,,,
_TAG_VALUE,football,pass_style,flick_on,头球摆渡,Flick On,Headed pass to redirect the ball,,,,,,head used to redirect ball,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 过人技术 Dribble Technique (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,dribble_technique,过人技术,Dribble Technique,applies_to: dribble,exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,step_over,踩单车,Step Over,Foot circling over ball to feint,,,,0.1,,foot circles over ball,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,marseille_turn,马赛回旋,Marseille Turn,360 spin to evade defender,,,,0.2,"highlight, skill",360 spin move,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,elastico,油炸丸子,Elastico,Quick inside-outside touch to beat defender,,,,0.2,"highlight, skill",rapid inside-outside ball shift,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,rainbow_flick,彩虹过人,Rainbow Flick,Flicking ball over own head and opponent,,,,0.3,"highlight, top10, acrobatic",ball flicked over self and opponent,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,sombrero,牛尾巴,Sombrero / Flip Flap,Flicking ball over opponent head,,,,0.2,"highlight, skill",ball flicked over opponent,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,nutmeg,穿裆过人,Nutmeg,Playing ball through opponent legs,,,,0.2,"highlight, skill",ball through legs,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,inside_cut,内切,Inside Cut,Cutting inside from wide position,,,,,,player cuts toward center,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,outside_cut,下底,Outside Cut,Wide run along the touchline,,,,,,player runs wide along sideline,,v3-20260319,,,
_TAG_VALUE,football,dribble_technique,fake_shot,假射,Fake Shot,Deception move feinting a shot,,,,,,feint shot to wrong-foot opponent,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 扑救技术 Save Technique (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,save_technique,扑救技术,Save Technique,applies_to: save,exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,save_technique,fingertip,指尖扑救,Fingertip,Save made with fingertips at full stretch,,,,0.2,"highlight, defense",fingertip touch deflects ball,,v3-20260319,,,
_TAG_VALUE,football,save_technique,caught,接住,Caught,Goalkeeper securely catches the ball,,,,,,GK catches ball cleanly,,v3-20260319,,,
_TAG_VALUE,football,save_technique,parried_safe,安全扑挡,Parried Safe,Save parried away from danger,,,,,,ball parried to safe area,,v3-20260319,,,
_TAG_VALUE,football,save_technique,parried_danger,危险扑挡,Parried Danger,Save parried but still in danger zone,,,,,,ball parried to danger area,,v3-20260319,,,
_TAG_VALUE,football,save_technique,punch,拳击球,Punch,Goalkeeper punches ball away with fist,,,,,,GK clenched fist contact,,v3-20260319,,,
_TAG_VALUE,football,save_technique,one_on_one,扑单刀,One-on-One,Save in 1v1 situation with attacker,,,,0.25,"highlight, defense, clutch",GK faces attacker alone,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 门将动作 Keeper Movement (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,keeper_movement,门将动作,Keeper Movement,applies_to: save,exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,keeper_movement,diving,鱼跃,Diving,Goalkeeper dives to make save,,,,0.1,,GK leaves feet to save,,v3-20260319,,,
_TAG_VALUE,football,keeper_movement,standing,站立,Standing,Save made while staying on feet,,,,,,GK remains on feet,,v3-20260319,,,
_TAG_VALUE,football,keeper_movement,sliding,出击铲,Sliding,Goalkeeper slides out to block,,,,,,GK slides to block ball,,v3-20260319,,,
_TAG_VALUE,football,keeper_movement,reaching,伸展,Reaching,Goalkeeper stretches to reach ball,,,,,,GK extends to reach ball,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 解围方式 Clearance Type (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,clearance_type,解围方式,Clearance Type,applies_to: clearance,exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,clearance_type,headed,头球解围,Headed,Defensive header to clear danger,,,,,,head used to clear ball,,v3-20260319,,,
_TAG_VALUE,football,clearance_type,off_the_line,门线解围,Off the Line,Clearance on or near the goal line,,,,0.3,"highlight, defense, drama",ball cleared on/near goal line,,v3-20260319,,,
_TAG_VALUE,football,clearance_type,hoof,大脚解围,Hoof,Long clearance kick upfield,,,,,,long distance clearance,,v3-20260319,,,
_TAG_VALUE,football,clearance_type,punt,门将开大脚,Punt,Goalkeeper long kick from hands,,,,,,GK kicks from hands,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 点球方式 Penalty Style (互斥) ---,,,,,,,,,,,,
_TAG_GROUP,football,,penalty_style,点球方式,Penalty Style,applies_to: penalty,exclusive,,,,,,,v3-20260319,,,
_TAG_VALUE,football,penalty_style,panenka,勺子点球,Panenka,Chipped penalty down the middle,,,,0.25,"highlight, skill, audacious",chip technique on penalty,,v3-20260319,,,
_TAG_VALUE,football,penalty_style,power,大力抽射,Power,Full-power penalty kick,,,,,,high velocity penalty strike,,v3-20260319,,,
_TAG_VALUE,football,penalty_style,placement,精准推射,Placement,Precise penalty aimed at corner,,,,,,accuracy-focused penalty placement,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 情境标签 Context Tag (非互斥可叠加) ---,,,,,,,,,,,,
_TAG_GROUP,football,,context_tag,情境标签,Context Tag,"applies_to: goal, shoot, save",non-exclusive,,,,,,,v3-20260319,可叠加,,
_TAG_VALUE,football,context_tag,worldie,世界波,Worldie / Screamer,Spectacular or technically brilliant moment,,,,0.3,"highlight, top10",extraordinary technique or distance,,v3-20260319,,,
